"pseudotime_bin","pseudotime","IRE1_score","PERK_score","ATF6_score","UPR_Reostat_SD"
"[0,0.167]",0.0357294535494937,-0.114872290304563,0.385655313898543,0.271427376518327,0.875622698402924
"(0.167,4.27]",2.77800447188872,0.0171526448625837,-0.0258763752508258,0.363295328745484,0.96352976227581
"(4.27,6.33]",5.42788285204979,0.104351133280529,-0.511766989880643,0.327624639199388,1.0157335217438
"(6.33,8.3]",7.34648575237463,-0.238004810580267,-0.395662645316791,-0.4636292621845,0.968133835027044
"(8.3,10.7]",9.51153316016429,-0.0959295405227824,-0.524853497037253,0.189281222237119,1.00711587808371
"(10.7,12.8]",11.745887555999,0.0962817363246659,-0.105928217638186,0.425477289644888,0.861879637547425
"(12.8,16.6]",14.9328356769067,0.110689722500586,-0.344645355367325,0.26846051514504,0.778468901314865
"(16.6,18.1]",17.3131125389635,0.0388069173510341,-0.269360911220908,0.278613246045711,0.770339184343473
"(18.1,18.8]",18.4685903486488,-0.184145610771184,-0.526871218695643,0.161570248138156,0.705845604051696
"(18.8,19.5]",19.1813903303836,-0.169096566228464,-0.47196693872078,0.375221726708692,0.802237850666979
"(19.5,20.1]",19.7515543876298,-0.183028872983456,-0.616497033900771,0.281875457843571,0.796171066420557
"(20.1,21.4]",20.6108196295075,-0.399346291326349,-0.771297662658791,0.320827269684399,0.870561916404706
"(21.4,22.6]",21.9411553231497,0.243343351720988,-0.102266575130893,0.869739487365839,0.882112837355755
"(22.6,24]",23.2855105094216,-0.425685310994082,-1.0480761909869,0.366006507352844,0.981545773677719
"(24,25.2]",24.6547243566712,-0.40662328074352,-1.03624501824022,0.429809914429797,1.01251762200447
"(25.2,28.8]",27.5944387667269,0.0191720522257541,-0.621073307624646,0.196669296271678,0.933236991649409
"(28.8,31.1]",29.8859825882239,0.334202912136231,-0.497925822052482,0.65896189091922,1.04138739463978
"(31.1,35.6]",33.7530759954859,0.652283419793221,-0.223724890665206,1.34432158533298,1.1505498940891
"(35.6,41.4]",38.2192767940515,0.704976139098202,-0.113186155939312,1.05374237336366,1.07683795187519
"(41.4,44.9]",42.813937088125,-0.260149708552566,-0.810940047242364,0.138255674249195,0.91181476521394
