"seurat_clusters","UPR_State","n","total_cells","frac","percentage"
"0","All-low",22,215,0.102325581395349,10.2325581395349
"0","PERK-high",29,215,0.134883720930233,13.4883720930233
"0","IRE1-high",9,215,0.0418604651162791,4.18604651162791
"0","ATF6-high",8,215,0.0372093023255814,3.72093023255814
"0","Multi-arm-high",35,215,0.162790697674419,16.2790697674419
"0","Intermediate/Mixed",112,215,0.52093023255814,52.093023255814
"1","All-low",14,118,0.11864406779661,11.864406779661
"1","PERK-high",12,118,0.101694915254237,10.1694915254237
"1","IRE1-high",1,118,0.00847457627118644,0.847457627118644
"1","ATF6-high",3,118,0.0254237288135593,2.54237288135593
"1","Multi-arm-high",2,118,0.0169491525423729,1.69491525423729
"1","Intermediate/Mixed",86,118,0.728813559322034,72.8813559322034
"2","All-low",5,112,0.0446428571428571,4.46428571428571
"2","PERK-high",5,112,0.0446428571428571,4.46428571428571
"2","IRE1-high",4,112,0.0357142857142857,3.57142857142857
"2","ATF6-high",18,112,0.160714285714286,16.0714285714286
"2","Multi-arm-high",39,112,0.348214285714286,34.8214285714286
"2","Intermediate/Mixed",41,112,0.366071428571429,36.6071428571429
"3","PERK-high",10,90,0.111111111111111,11.1111111111111
"3","IRE1-high",10,90,0.111111111111111,11.1111111111111
"3","ATF6-high",11,90,0.122222222222222,12.2222222222222
"3","Multi-arm-high",20,90,0.222222222222222,22.2222222222222
"3","Intermediate/Mixed",39,90,0.433333333333333,43.3333333333333
"4","All-low",1,88,0.0113636363636364,1.13636363636364
"4","PERK-high",13,88,0.147727272727273,14.7727272727273
"4","IRE1-high",3,88,0.0340909090909091,3.40909090909091
"4","Multi-arm-high",26,88,0.295454545454545,29.5454545454545
"4","Intermediate/Mixed",45,88,0.511363636363636,51.1363636363636
"5","All-low",1,75,0.0133333333333333,1.33333333333333
"5","PERK-high",13,75,0.173333333333333,17.3333333333333
"5","IRE1-high",3,75,0.04,4
"5","ATF6-high",3,75,0.04,4
"5","Multi-arm-high",30,75,0.4,40
"5","Intermediate/Mixed",25,75,0.333333333333333,33.3333333333333
"6","PERK-high",27,73,0.36986301369863,36.986301369863
"6","IRE1-high",7,73,0.0958904109589041,9.58904109589041
"6","Multi-arm-high",14,73,0.191780821917808,19.1780821917808
"6","Intermediate/Mixed",25,73,0.342465753424658,34.2465753424658
"7","PERK-high",12,65,0.184615384615385,18.4615384615385
"7","IRE1-high",8,65,0.123076923076923,12.3076923076923
"7","ATF6-high",5,65,0.0769230769230769,7.69230769230769
"7","Multi-arm-high",23,65,0.353846153846154,35.3846153846154
"7","Intermediate/Mixed",17,65,0.261538461538462,26.1538461538462
"8","All-low",1,35,0.0285714285714286,2.85714285714286
"8","PERK-high",3,35,0.0857142857142857,8.57142857142857
"8","IRE1-high",2,35,0.0571428571428571,5.71428571428571
"8","ATF6-high",3,35,0.0857142857142857,8.57142857142857
"8","Multi-arm-high",4,35,0.114285714285714,11.4285714285714
"8","Intermediate/Mixed",22,35,0.628571428571429,62.8571428571429
