"cluster_factor","Total_Cells","frac","All-low","PERK-high","IRE1-high","ATF6-high","Multi-arm-high","Intermediate/Mixed"
"0",215,0.102325581395349,10.23,0,0,0,0,0
"0",215,0.134883720930233,0,13.49,0,0,0,0
"0",215,0.0418604651162791,0,0,4.19,0,0,0
"0",215,0.0372093023255814,0,0,0,3.72,0,0
"0",215,0.162790697674419,0,0,0,0,16.28,0
"0",215,0.52093023255814,0,0,0,0,0,52.09
"1",118,0.11864406779661,11.86,0,0,0,0,0
"1",118,0.101694915254237,0,10.17,0,0,0,0
"1",118,0.00847457627118644,0,0,0.85,0,0,0
"1",118,0.0254237288135593,0,0,0,2.54,0,0
"1",118,0.0169491525423729,0,0,0,0,1.69,0
"1",118,0.728813559322034,0,0,0,0,0,72.88
"2",112,0.0446428571428571,4.46,4.46,0,0,0,0
"2",112,0.0357142857142857,0,0,3.57,0,0,0
"2",112,0.160714285714286,0,0,0,16.07,0,0
"2",112,0.348214285714286,0,0,0,0,34.82,0
"2",112,0.366071428571429,0,0,0,0,0,36.61
"3",90,0.111111111111111,0,11.11,11.11,0,0,0
"3",90,0.122222222222222,0,0,0,12.22,0,0
"3",90,0.222222222222222,0,0,0,0,22.22,0
"3",90,0.433333333333333,0,0,0,0,0,43.33
"4",88,0.0113636363636364,1.14,0,0,0,0,0
"4",88,0.147727272727273,0,14.77,0,0,0,0
"4",88,0.0340909090909091,0,0,3.41,0,0,0
"4",88,0.295454545454545,0,0,0,0,29.55,0
"4",88,0.511363636363636,0,0,0,0,0,51.14
"5",75,0.0133333333333333,1.33,0,0,0,0,0
"5",75,0.173333333333333,0,17.33,0,0,0,0
"5",75,0.04,0,0,4,4,0,0
"5",75,0.4,0,0,0,0,40,0
"5",75,0.333333333333333,0,0,0,0,0,33.33
"6",73,0.36986301369863,0,36.99,0,0,0,0
"6",73,0.0958904109589041,0,0,9.59,0,0,0
"6",73,0.191780821917808,0,0,0,0,19.18,0
"6",73,0.342465753424658,0,0,0,0,0,34.25
"7",65,0.184615384615385,0,18.46,0,0,0,0
"7",65,0.123076923076923,0,0,12.31,0,0,0
"7",65,0.0769230769230769,0,0,0,7.69,0,0
"7",65,0.353846153846154,0,0,0,0,35.38,0
"7",65,0.261538461538462,0,0,0,0,0,26.15
"8",35,0.0285714285714286,2.86,0,0,0,0,0
"8",35,0.0857142857142857,0,8.57,0,8.57,0,0
"8",35,0.0571428571428571,0,0,5.71,0,0,0
"8",35,0.114285714285714,0,0,0,0,11.43,0
"8",35,0.628571428571429,0,0,0,0,0,62.86
